Titulo_del_Episodio,Actor_Nombre,Actor_Apellido
"Winter Is Coming",Emilia,Clarke
"Winter Is Coming",Peter,Dinklage
"Winter Is Coming",Kit,Harington
"The North Remembers",Emilia,Clarke
"The North Remembers",Peter,Dinklage
"The North Remembers",Kit,Harington
"Valar Dohaeris",Emilia,Clarke
"Valar Dohaeris",Peter,Dinklage
"Two Swords",Emilia,Clarke
"Two Swords",Peter,Dinklage
"Two Swords",Kit,Harington
"The Wars to Come",Emilia,Clarke
"The Wars to Come",Peter,Dinklage
"The Wars to Come",Kit,Harington
"The Red Woman",Peter,Dinklage
"The Red Woman",Kit,Harington
Pilot,Jared,Padalecki
Pilot,Jensen,Ackles
Pilot,Jim,Beaver
"In My Time of Dying",Jared,Padalecki
"In My Time of Dying",Jensen,Ackles
"In My Time of Dying",Jim,Beaver
"The Magnificent Seven",Jared,Padalecki
"The Magnificent Seven",Jensen,Ackles
"The Magnificent Seven",Jim,Beaver
"Lazarus Rising",Jared,Padalecki
"Lazarus Rising",Jensen,Ackles
"Lazarus Rising",Jim,Beaver
"Sympathy for the Devil",Jared,Padalecki
"Sympathy for the Devil",Jim,Beaver
"Exile on Main St.",Jared,Padalecki
"Exile on Main St.",Jim,Beaver
"Meet the New Boss",Jared,Padalecki
"Meet the New Boss",Jensen,Ackles
"Meet the New Boss",Jim,Beaver
"We Need to Talk About Kevin",Jensen,Ackles
"We Need to Talk About Kevin",Jim,Beaver
"I Think Im Gonna Like It Here",Jared,Padalecki
"I Think Im Gonna Like It Here",Jensen,Ackles
"I Think Im Gonna Like It Here",Jim,Beaver
"A Very Special Supernatural Special",Jared,Padalecki
"A Very Special Supernatural Special",Jensen,Ackles
"Out of the Darkness, Into the Fire",Jared,Padalecki
"Out of the Darkness, Into the Fire",Jensen,Ackles
"Out of the Darkness, Into the Fire",Jim,Beaver
"Days Gone Bye",Andrew,Lincoln
"Days Gone Bye",Jon,Bernthal
"What Lies Ahead",Andrew,Lincoln
"What Lies Ahead",Jon,Bernthal
"What Lies Ahead",Sarah,Callies
Seed,Andrew,Lincoln
Seed,Jon,Bernthal
Seed,Sarah,Callies
"30 Days Without an Accident",Jon,Bernthal
"30 Days Without an Accident",Sarah,Callies
"No Sanctuary",Andrew,Lincoln
"No Sanctuary",Jon,Bernthal
"No Sanctuary",Sarah,Callies
"First Time Again",Andrew,Lincoln
"First Time Again",Jon,Bernthal
"First Time Again",Sarah,Callies
Pilot,Jim,Caviezel
Pilot,Taraji,Henson
Pilot,Kevin,Chapman
"The Contingency",Jim,Caviezel
"The Contingency",Taraji,Henson
Liberty,Jim,Caviezel
Liberty,Taraji,Henson
Liberty,Kevin,Chapman
Panopticon,Jim,Caviezel
Panopticon,Taraji,Henson
Panopticon,Kevin,Chapman
B.S.O.D.,Jim,Caviezel
B.S.O.D.,Taraji,Henson
B.S.O.D.,Kevin,Chapman
Pilot,Johnny,Galecki
Pilot,Jim,Parsons
Pilot,Kaley,Cuoco
"The Bad Fish Paradigm",Johnny,Galecki
"The Bad Fish Paradigm",Kaley,Cuoco
"The Electric Can Opener Fluctuation",Johnny,Galecki
"The Electric Can Opener Fluctuation",Jim,Parsons
"The Robotic Manipulation",Johnny,Galecki
"The Robotic Manipulation",Jim,Parsons
"The Skank Reflex Analysis",Johnny,Galecki
"The Skank Reflex Analysis",Jim,Parsons
"The Skank Reflex Analysis",Kaley,Cuoco
"The Date Night Variable",Johnny,Galecki
"The Date Night Variable",Jim,Parsons
"The Hofstadter Insufficiency",Johnny,Galecki
"The Hofstadter Insufficiency",Jim,Parsons
"The Hofstadter Insufficiency",Kaley,Cuoco
"The Locomotion Interruption",Johnny,Galecki
"The Locomotion Interruption",Jim,Parsons
"The Locomotion Interruption",Kaley,Cuoco
"The Matrimonial Momentum",Johnny,Galecki
"The Matrimonial Momentum",Jim,Parsons
"The Matrimonial Momentum",Kaley,Cuoco
Pilot,Bryan,Cranston
Pilot,Anna,Gunn
"Seven Thirty-Seven",Bryan,Cranston
"Seven Thirty-Seven",Anna,Gunn
"No Más",Bryan,Cranston
"No Más",Aaron,Paul
"No Más",Anna,Gunn
"Box Cutter",Bryan,Cranston
"Box Cutter",Aaron,Paul
"Box Cutter",Anna,Gunn
"Live Free or Die",Bryan,Cranston
"Live Free or Die",Aaron,Paul
"Live Free or Die",Anna,Gunn
Madrigal,Aaron,Paul
Madrigal,Anna,Gunn
"Hazard Pay",Aaron,Paul
"Hazard Pay",Anna,Gunn
Fifty-One,Bryan,Cranston
Fifty-One,Aaron,Paul
"Dead Freight",Bryan,Cranston
"Dead Freight",Anna,Gunn
Buyout,Bryan,Cranston
Buyout,Aaron,Paul
Buyout,Anna,Gunn
"Say My Name",Bryan,Cranston
"Say My Name",Aaron,Paul
"Say My Name",Anna,Gunn
"Gliding Over All",Bryan,Cranston
"Gliding Over All",Aaron,Paul
"Gliding Over All",Anna,Gunn
"Blood Money",Bryan,Cranston
"Blood Money",Aaron,Paul
"Blood Money",Anna,Gunn
Buried,Bryan,Cranston
Buried,Aaron,Paul
Buried,Anna,Gunn
Confessions,Bryan,Cranston
Confessions,Aaron,Paul
Confessions,Anna,Gunn
"Rabid Dog",Bryan,Cranston
"To hajiilee",Bryan,Cranston
"To hajiilee",Aaron,Paul
"To hajiilee",Anna,Gunn
Ozymandias,Bryan,Cranston
Ozymandias,Aaron,Paul
Ozymandias,Anna,Gunn
"Granite State",Bryan,Cranston
"Granite State",Aaron,Paul
Felina,Aaron,Paul
Felina,Anna,Gunn
